"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันขึ้นปีใหม่","20220101",,,,"true","วันเสาร์ แรม 13 ค่ำ เดือนอ้าย (๑) ปีฉลู","3",""
"วันหยุดชดเชย","20220103",,,,"true","วันจันทร์ ขึ้น 1 ค่ำ เดือนยี่ (๒) ปีฉลู","3",""
"วันมาฆบูชา","20220216",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนสาม (๓) ปีฉลู","3",""
"วันจักรี","20220406",,,,"true","วันพุธ ขึ้น 5 ค่ำ เดือนห้า (๕) ปีขาล","3",""
"วันสงกรานต์","20220413",,,,"true","วันพุธ ขึ้น 12 ค่ำ เดือนห้า (๕) ปีขาล","3",""
"วันสงกรานต์","20220414",,,,"true","วันพฤหัสบดี ขึ้น 13 ค่ำ เดือนห้า (๕) ปีขาล","3",""
"วันสงกรานต์","20220415",,,,"true","วันศุกร์ ขึ้น 14 ค่ำ เดือนห้า (๕) ปีขาล","3",""
"วันแรงงาน (เอกชน)","20220501",,,,"true","วันอาทิตย์ ขึ้น 1 ค่ำ เดือนหก (๖) ปีขาล","3",""
"วันฉัตรมงคล","20220504",,,,"true","วันพุธ ขึ้น 4 ค่ำ เดือนหก (๖) ปีขาล","3",""
"วันพืชมงคล (ราชการ)","20220513",,,,"true","วันศุกร์ ขึ้น 13 ค่ำ เดือนหก (๖) ปีขาล","3",""
"วันวิสาขบูชา","20220515",,,,"true","วันอาทิตย์ ขึ้น 15 ค่ำ เดือนหก (๖) ปีขาล","3",""
"วันหยุดชดเชย","20220516",,,,"true","วันจันทร์ แรม 1 ค่ำ เดือนหก (๖) ปีขาล","3",""
"วันเฉลิมฯ พระบรมราชินี","20220603",,,,"true","วันศุกร์ ขึ้น 4 ค่ำ เดือนเจ็ด (๗) ปีขาล","3",""
"วันอาสาฬหบูชา","20220713",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนแปด (๘) ปีขาล","3",""
"วันเข้าพรรษา (ราชการ)","20220714",,,,"true","วันพฤหัสบดี แรม 1 ค่ำ เดือนแปด (๘) ปีขาล","3",""
"วันหยุดพิเศษ (ครม.)","20220715",,,,"true","วันศุกร์ แรม 2 ค่ำ เดือนแปด (๘) ปีขาล","3",""
"วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว","20220728",,,,"true","วันพฤหัสบดี แรม 15 ค่ำ เดือนแปด (๘) ปีขาล","3",""
"วันหยุดพิเศษ (ครม.)","20220729",,,,"true","วันศุกร์ ขึ้น 1 ค่ำ เดือนเก้า (๙) ปีขาล","3",""
"วันแม่","20220812",,,,"true","วันศุกร์ ขึ้น 15 ค่ำ เดือนเก้า (๙) ปีขาล","3",""
"วันนวมินทรมหาราช","20221013",,,,"true","วันพฤหัสบดี แรม 3 ค่ำ เดือนสิบเอ็ด (๑๑) ปีขาล","3",""
"วันหยุดพิเศษ (ครม.)","20221014",,,,"true","วันศุกร์ แรม 4 ค่ำ เดือนสิบเอ็ด (๑๑) ปีขาล","3",""
"วันปิยมหาราช","20221023",,,,"true","วันอาทิตย์ แรม 13 ค่ำ เดือนสิบเอ็ด (๑๑) ปีขาล","3",""
"วันหยุดชดเชย","20221024",,,,"true","วันจันทร์ แรม 14 ค่ำ เดือนสิบเอ็ด (๑๑) ปีขาล","3",""
"วันพ่อ","20221205",,,,"true","วันจันทร์ ขึ้น 12 ค่ำ เดือนอ้าย (๑) ปีขาล","3",""
"วันรัฐธรรมนูญ","20221210",,,,"true","วันเสาร์ แรม 2 ค่ำ เดือนอ้าย (๑) ปีขาล","3",""
"วันหยุดชดเชย","20221212",,,,"true","วันจันทร์ แรม 4 ค่ำ เดือนอ้าย (๑) ปีขาล","3",""
"วันหยุดพิเศษ (ครม.)","20221230",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนยี่ (๒) ปีขาล","3",""
"วันสิ้นปี","20221231",,,,"true","วันเสาร์ ขึ้น 9 ค่ำ เดือนยี่ (๒) ปีขาล","3",""
